City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Esperance,AU,2022-01-30 18:22:53,-33.8667,121.9,70.48,65,60,10.38
137,Kirkuk,IQ,2022-01-30 18:24:05,35.4681,44.3922,45.95,65,24,2.8
138,Saint-Augustin,CA,2022-01-30 18:23:15,51.226,-58.6502,28.92,95,99,24.45
139,Port-Gentil,GA,2022-01-30 18:24:05,-0.7193,8.7815,82.36,83,40,8.05
140,Tukrah,LY,2022-01-30 18:24:06,32.5341,20.5791,55.22,71,93,21.56
141,Plaridel,PH,2022-01-30 18:24:06,14.8872,120.8572,79.09,88,39,5.08
142,Coihaique,CL,2022-01-30 18:20:02,-45.5752,-72.0662,57.81,44,40,8.05
143,Pacific Grove,US,2022-01-30 18:24:06,36.6177,-121.9166,62.8,61,0,1.01
144,Kavieng,PG,2022-01-30 18:24:07,-2.5744,150.7967,80.94,75,88,1.79
145,Southbridge,US,2022-01-30 18:24:07,42.0751,-72.0334,22.86,36,15,1.01
146,Turka,UA,2022-01-30 18:24:07,49.1541,23.0297,31.26,94,100,18.97
147,Kulhudhuffushi,MV,2022-01-30 18:24:08,6.6221,73.07,80.91,77,32,10.47
148,Hanstholm,DK,2022-01-30 18:24:08,57.1167,8.6167,38.62,66,98,20.74
149,Lebu,CL,2022-01-30 18:24:08,-37.6167,-73.65,63.14,66,55,16.91
150,Urumqi,CN,2022-01-30 18:22:02,43.801,87.6005,-3.05,85,75,2.24
151,Baryshivka,UA,2022-01-30 18:24:09,50.361,31.3217,36.07,97,91,13.91
152,Labuhan,ID,2022-01-30 18:19:42,-6.8844,112.2051,77.83,88,100,5.59
153,Salalah,OM,2022-01-30 18:24:09,17.0151,54.0924,75.29,69,0,3.44
154,Kalmunai,LK,2022-01-30 18:24:10,7.4167,81.8167,77.07,87,28,6.67
155,Te Anau,NZ,2022-01-30 18:24:10,-45.4167,167.7167,53.47,95,16,0.83
156,Aksu,CN,2022-01-30 18:24:10,41.1231,80.2644,23.31,49,35,1.12
157,Solano,US,2022-01-30 18:24:11,38.2333,-121.9511,56.19,76,0,4.61
158,Qaanaaq,GL,2022-01-30 18:23:52,77.484,-69.3632,-7.49,71,100,11.43
159,Kilindoni,TZ,2022-01-30 18:24:11,-7.9139,39.6668,80.42,79,100,10.47
160,Noumea,NC,2022-01-30 18:23:45,-22.2763,166.4572,81.0,99,100,9.73
161,Eyl,SO,2022-01-30 18:24:12,7.9803,49.8164,75.54,75,100,16.44
162,Asau,RO,2022-01-30 18:21:47,46.4333,26.4,38.95,66,40,17.69
163,Sikonge,TZ,2022-01-30 18:24:12,-5.6333,32.7667,66.63,92,84,5.59
164,Baruun-Urt,MN,2022-01-30 18:24:12,46.6806,113.2792,-7.38,96,77,5.46
165,Luderitz,NA,2022-01-30 18:21:19,-26.6481,15.1594,69.71,75,68,10.63
166,Umm Kaddadah,SD,2022-01-30 18:24:13,13.6017,26.6876,64.0,13,1,12.37
167,Bubaque,GW,2022-01-30 18:24:13,11.2833,-15.8333,78.24,63,21,15.19
168,Astana,KZ,2022-01-30 18:24:14,51.1801,71.446,15.75,86,100,20.13
169,Orlik,RU,2022-01-30 18:24:14,52.5178,99.825,-24.25,95,26,2.42
170,Vasteras,SE,2022-01-30 18:22:45,59.6162,16.5528,33.71,62,20,19.57
171,Yenotayevka,RU,2022-01-30 18:24:15,47.2456,47.0281,28.49,88,47,7.49
172,Caravelas,BR,2022-01-30 18:24:15,-17.7125,-39.2481,86.79,62,77,12.48
173,La Ferte-Bernard,FR,2022-01-30 18:24:15,48.1863,0.6536,47.82,83,22,3.87
174,Leshukonskoye,RU,2022-01-30 18:24:16,64.8989,45.7622,10.49,95,100,6.35
175,Cockburn Town,TC,2022-01-30 18:24:16,21.4612,-71.1419,75.16,69,75,13.8
176,Laguna,US,2022-01-30 18:24:16,38.421,-121.4238,59.65,70,0,1.99
177,Atuona,PF,2022-01-30 18:23:14,-9.8,-139.0333,77.22,79,10,13.2
178,Kavaratti,IN,2022-01-30 18:24:17,10.5669,72.642,81.37,71,42,9.55
179,Atambua,ID,2022-01-30 18:24:17,-9.1061,124.8925,74.5,89,99,5.06
180,Tautira,PF,2022-01-30 18:25:03,-17.7333,-149.15,75.22,76,92,9.86
181,Svetlogorsk,BY,2022-01-30 18:25:17,52.6333,29.7333,31.59,95,100,10.33
182,Lompoc,US,2022-01-30 18:25:18,34.6391,-120.4579,73.13,43,0,5.75
183,Rundu,NA,2022-01-30 18:21:56,-17.9333,19.7667,67.87,90,99,3.49
184,Bida,NG,2022-01-30 18:25:18,9.0833,6.0167,86.25,8,84,6.78
185,Narsaq,GL,2022-01-30 18:23:06,60.9167,-46.05,12.42,63,100,8.3
186,Pevek,RU,2022-01-30 18:25:19,69.7008,170.3133,-11.34,95,100,3.36
187,Carnarvon,AU,2022-01-30 18:25:19,-24.8667,113.6333,80.67,78,13,18.41
188,Sterling,US,2022-01-30 18:22:56,39.0062,-77.4286,30.88,48,100,1.01
189,Kawhia,NZ,2022-01-30 18:25:20,-38.0651,174.8183,59.38,91,69,5.73
190,Oktyabrskoye,RU,2022-01-30 18:25:20,43.0645,44.7417,28.54,92,27,8.95
191,Vilhena,BR,2022-01-30 18:23:59,-12.7406,-60.1458,73.62,94,75,12.66
192,Sambava,MG,2022-01-30 18:25:20,-14.2667,50.1667,79.16,86,86,13.69
193,Fayaoue,NC,2022-01-30 18:25:21,-20.65,166.5333,81.28,81,98,12.75
194,Bayji,IQ,2022-01-30 18:25:21,34.9311,43.487,48.97,61,4,6.53
195,Sarangani,PH,2022-01-30 18:25:22,5.4033,125.4636,80.94,75,73,7.99
196,Saskylakh,RU,2022-01-30 18:25:22,71.9167,114.0833,-19.21,100,100,2.86
197,Lianran,CN,2022-01-30 18:25:22,24.9227,102.485,43.34,88,21,3.04
198,Ribeira Grande,PT,2022-01-30 18:23:34,38.5167,-28.7,57.6,77,40,12.66
199,Spirovo,RU,2022-01-30 18:25:23,57.419,34.9766,24.64,94,100,9.46
200,Faanui,PF,2022-01-30 18:25:23,-16.4833,-151.75,79.77,73,68,6.87
201,Mikuni,JP,2022-01-30 18:25:24,36.2171,136.1519,33.71,73,93,16.42
202,College,US,2022-01-30 18:24:00,64.8569,-147.8028,-25.35,71,75,0.0
203,Codrington,AU,2022-01-30 18:21:24,-38.2667,141.9667,61.38,98,9,7.14
204,Yellowknife,CA,2022-01-30 18:22:11,62.456,-114.3525,-12.48,77,100,8.05
205,Tecpan,GT,2022-01-30 18:25:24,14.7623,-90.9947,66.96,49,42,4.16
206,Bathsheba,BB,2022-01-30 18:25:24,13.2167,-59.5167,84.81,65,40,18.41
207,Hyeres,FR,2022-01-30 18:25:25,43.1167,6.1167,50.41,83,0,2.3
208,Alice Springs,AU,2022-01-30 18:23:04,-23.7,133.8833,72.95,100,100,8.05
209,Rajauri,IN,2022-01-30 18:25:25,33.3833,74.3,47.77,50,74,5.46
210,Paungde,MM,2022-01-30 18:25:25,18.4833,95.5,59.95,66,5,2.55
211,Saint-Denis,FR,2022-01-30 18:25:26,48.9167,2.3333,47.14,73,100,1.14
212,Abu Zabad,SD,2022-01-30 18:25:26,12.35,29.25,68.4,13,57,11.48
213,Mar Del Plata,AR,2022-01-30 18:20:58,-38.0023,-57.5575,86.02,55,40,18.99
214,Lorengau,PG,2022-01-30 18:25:26,-2.0226,147.2712,79.23,82,100,10.45
215,Tuatapere,NZ,2022-01-30 18:21:53,-46.1333,167.6833,58.82,95,49,2.48
216,Vestmannaeyjar,IS,2022-01-30 18:25:27,63.4427,-20.2734,29.39,74,40,41.43
217,Longavi,CL,2022-01-30 18:25:27,-35.9667,-71.6833,87.03,15,1,9.86
218,Homa Bay,KE,2022-01-30 18:25:28,-0.5273,34.4571,74.88,69,95,5.59
219,Porto Novo,BJ,2022-01-30 18:25:28,6.4965,2.6036,84.02,54,79,6.6
220,Soyo,AO,2022-01-30 18:25:28,-6.1349,12.3689,80.15,83,89,8.48
221,Batesville,US,2022-01-30 18:21:58,35.7698,-91.641,60.49,24,0,8.99
222,Bardiyah,LY,2022-01-30 18:25:29,31.7561,25.0865,56.23,73,92,28.43
223,Uzventis,LT,2022-01-30 18:25:29,55.7803,22.6547,30.27,90,100,24.47
224,Dingle,PH,2022-01-30 18:25:29,10.9995,122.6711,75.42,92,78,2.51
225,Presidencia Roque Saenz Pena,AR,2022-01-30 18:25:52,-26.7852,-60.4388,101.68,11,0,6.08
226,Beringovskiy,RU,2022-01-30 18:26:30,63.05,179.3167,-13.67,99,70,7.34
227,Moron,AR,2022-01-30 18:26:30,-34.6534,-58.6198,89.02,49,0,11.99
228,Tara,RU,2022-01-30 18:26:30,56.8944,74.371,7.77,95,99,7.45
229,Saint Anthony,US,2022-01-30 18:26:31,45.0205,-93.218,20.8,69,0,1.99
230,Humberto De Campos,BR,2022-01-30 18:26:31,-2.5983,-43.4611,84.9,62,90,8.93
231,Kamaishi,JP,2022-01-30 18:26:32,39.2667,141.8833,24.89,61,44,10.22
232,Norman Wells,CA,2022-01-30 18:26:32,65.282,-126.8329,-32.76,68,40,2.3
233,Dengzhou,CN,2022-01-30 18:26:32,37.8086,120.7508,32.45,49,18,8.25
234,Naze,JP,2022-01-30 18:23:50,28.3667,129.4833,52.81,69,97,18.9
235,Lynn Haven,US,2022-01-30 18:26:33,30.2455,-85.6483,62.24,49,0,7.0
236,Cayenne,GF,2022-01-30 18:26:33,4.9333,-52.3333,82.44,84,100,4.0
237,Gornopravdinsk,RU,2022-01-30 18:26:33,60.05,69.9,4.12,97,100,4.45
238,Adeje,ES,2022-01-30 18:26:34,28.1227,-16.726,65.5,67,17,5.01
239,Miram Shah,PK,2022-01-30 18:26:34,33.0086,70.0697,50.85,48,17,3.38
240,Yatou,CN,2022-01-30 18:26:35,37.15,122.3833,28.96,58,0,3.91
241,Ust-Ordynskiy,RU,2022-01-30 18:26:35,52.805,104.7508,-13.16,100,95,4.52
242,Hasaki,JP,2022-01-30 18:24:20,35.7333,140.8333,32.4,49,96,13.98
243,Tasiilaq,GL,2022-01-30 18:22:57,65.6145,-37.6368,8.76,35,6,31.97
244,Matara,LK,2022-01-30 18:26:35,5.9485,80.5353,76.95,91,34,7.27
245,Cidreira,BR,2022-01-30 18:26:36,-30.1811,-50.2056,76.84,57,7,16.49
246,Sabana Grande De Boya,DO,2022-01-30 18:26:36,18.945,-69.7933,84.7,53,31,7.25
247,Road Town,VG,2022-01-30 18:26:36,18.4167,-64.6167,82.44,65,40,9.22
248,Maragogi,BR,2022-01-30 18:23:04,-9.0122,-35.2225,82.72,71,79,10.04
249,Qui Nhon,VN,2022-01-30 18:26:37,13.7667,109.2333,75.2,85,91,6.42
250,Ostrovnoy,RU,2022-01-30 18:26:37,68.0531,39.5131,2.64,97,91,8.1
251,Bokoro,TD,2022-01-30 18:26:17,12.3807,17.0568,73.9,13,21,11.92
252,Ishigaki,JP,2022-01-30 18:26:37,24.3448,124.1572,63.77,61,97,27.92
253,Haines Junction,CA,2022-01-30 18:26:38,60.7522,-137.5108,8.55,66,98,10.36
254,Leiyang,CN,2022-01-30 18:26:38,26.4024,112.8591,39.81,89,100,3.31
255,Shingu,JP,2022-01-30 18:26:38,33.7333,135.9833,37.26,76,66,7.52
256,Maltahohe,NA,2022-01-30 18:26:39,-24.8333,16.9833,79.41,45,67,18.21
257,Constitucion,CL,2022-01-30 18:26:39,-35.3333,-72.4167,70.86,58,2,18.28
