City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
560,Swan Hill,AU,61.16,clear sky,-35.3378,143.5544,Lazy River Motor Inn
567,Kiama,AU,67.57,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
568,Avera,US,64.69,overcast clouds,33.194,-82.5271,
569,Jieshi,CN,51.94,overcast clouds,22.8134,115.8257,Yuehai Hotel
570,Lubumbashi,CD,63.3,overcast clouds,-11.6609,27.4794,Glo Flats
571,Kruisfontein,ZA,69.89,light rain,-34.0033,24.7314,Oyster Bay House Rental
576,Los Llanos De Aridane,ES,69.12,clear sky,28.6585,-17.9182,Valle Aridane
577,Gwadar,PK,67.91,clear sky,25.1216,62.3254,Sadaf Resort
580,Cascais,PT,57.51,overcast clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
595,Mpika,ZM,61.38,light rain,-11.8343,31.4529,Melodies Lodge
603,Bhadrachalam,IN,64.2,clear sky,17.6667,80.8833,Hotel Srinidhi Residency
610,Mbanza-Ngungu,CD,68.05,light rain,-5.25,14.8667,Hotel Full Business
614,Punganuru,IN,61.41,clear sky,13.3667,78.5833,Subrahmanyam hotel
615,Surt,LY,55.65,broken clouds,31.2089,16.5887,الهادي ابوشعاله سرت
619,Maralal,KE,59.49,overcast clouds,1.0968,36.698,Ngari Hill Ecolodge
620,Lonavale,IN,62.64,clear sky,18.75,73.4167,The Lagoona Resort
624,Carbonia,IT,52.99,broken clouds,39.1672,8.5222,Lu 'Hotel
626,Mosquera,CO,64.49,scattered clouds,4.7059,-74.2302,Hotel SJ
630,Aswan,EG,60.1,clear sky,24.0934,32.907,Nuba Nile
637,Pueblo Nuevo,MX,62.31,clear sky,23.3833,-105.3833,
640,Dunedin,NZ,55.94,light rain,-45.8742,170.5036,Scenic Hotel Southern Cross
644,Wagga Wagga,AU,63.61,broken clouds,-35.1167,147.3667,The Club Motel and Apartments
645,Kankipadu,IN,64.47,few clouds,16.45,80.7833,Moshe tiffin center
656,Palia Kalan,IN,53.92,overcast clouds,28.45,80.5833,Hotel Sleep Inn
663,Canelli,IT,53.83,clear sky,44.7215,8.2924,Residenza San Vito
664,Antofagasta,CL,69.08,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
674,Biltine,TD,64.58,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
677,Adre,TD,64.9,clear sky,13.4667,22.2,
680,Cervo,ES,53.96,overcast clouds,43.6702,-7.4101,Hotel Spa Galatea
685,Damaturu,NG,62.71,clear sky,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
690,Malangali,TZ,64.09,light rain,-8.5667,34.85,
714,Ulladulla,AU,65.88,overcast clouds,-35.35,150.4667,Sandpiper Motel
