City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
116,Karpathos,GR,2022-02-02 21:44:49,35.507,27.2132,55.36,82,100,20.71,overcast clouds
117,Mahebourg,MU,2022-02-02 21:42:30,-20.4081,57.7,79.25,100,75,33.38,shower rain
118,Poum,NC,2022-02-02 21:44:49,-20.2333,164.0167,79.95,76,0,6.82,clear sky
119,Kaduna,NG,2022-02-02 21:44:49,10.5222,7.4383,66.24,16,31,6.78,scattered clouds
120,Lompoc,US,2022-02-02 21:44:50,34.6391,-120.4579,66.52,19,0,14.97,clear sky
121,Carnarvon,AU,2022-02-02 21:44:50,-24.8667,113.6333,77.07,88,75,10.36,broken clouds
122,Kandrian,PG,2022-02-02 21:44:50,-6.2167,149.55,78.39,84,100,16.6,overcast clouds
123,Placido De Castro,BR,2022-02-02 21:44:51,-10.3353,-67.1856,82.02,71,75,3.91,broken clouds
124,Vanimo,PG,2022-02-02 21:44:51,-2.6741,141.3028,78.21,86,100,3.96,light rain
125,Sawtell,AU,2022-02-02 21:42:28,-30.3833,153.1,73.18,96,75,12.66,broken clouds
126,Melfort,CA,2022-02-02 21:44:51,52.8667,-104.6177,-19.44,63,6,9.22,clear sky
127,Jumla,NP,2022-02-02 21:44:52,29.2747,82.1838,36.41,92,87,4.32,overcast clouds
128,Belawan,ID,2022-02-02 21:44:52,3.7755,98.6832,75.49,92,100,3.51,overcast clouds
129,Codrington,AU,2022-02-02 21:44:52,-38.2667,141.9667,59.04,65,86,13.62,overcast clouds
130,Kodiak,US,2022-02-02 21:42:22,57.79,-152.4072,36.91,87,100,0.0,overcast clouds
131,Pangnirtung,CA,2022-02-02 21:40:30,66.1451,-65.7125,6.8,78,100,25.32,light snow
132,Haines Junction,CA,2022-02-02 21:42:48,60.7522,-137.5108,-0.45,60,100,5.75,overcast clouds
133,Mareeba,AU,2022-02-02 21:44:53,-17.0,145.4333,78.48,97,100,5.37,overcast clouds
134,Faanui,PF,2022-02-02 21:43:02,-16.4833,-151.75,81.01,73,20,20.0,few clouds
135,Santa Barbara,US,2022-02-02 21:44:53,34.7333,-120.0343,59.72,24,0,6.91,clear sky
136,Atikokan,CA,2022-02-02 21:44:54,48.7555,-91.6216,-4.99,86,100,9.1,overcast clouds
137,Punta,PH,2022-02-02 21:44:54,8.9897,125.34,73.71,84,100,4.92,overcast clouds
138,Cayenne,GF,2022-02-02 21:40:39,4.9333,-52.3333,80.1,84,75,5.99,light rain
139,Labuan,MY,2022-02-02 21:44:55,5.2767,115.2417,77.36,94,20,0.0,few clouds
140,San Vicente,AR,2022-02-02 21:44:55,-26.6167,-54.1333,85.53,37,76,5.37,broken clouds
141,Santa Cruz,BO,2022-02-02 21:41:55,-17.8,-63.1667,90.86,55,40,11.5,scattered clouds
142,Bambanglipuro,ID,2022-02-02 21:44:56,-7.95,110.2833,60.6,85,100,4.85,overcast clouds
143,Kailua,US,2022-02-02 21:45:56,21.4022,-157.7394,81.14,66,8,4.0,clear sky
144,Luanda,AO,2022-02-02 21:42:13,-8.8368,13.2343,75.2,88,40,4.61,scattered clouds
145,Estrela,BR,2022-02-02 21:45:57,-28.0611,-50.9383,75.07,54,67,2.39,broken clouds
146,Liku,ID,2022-02-02 21:45:57,-0.7275,119.8922,72.59,87,100,1.72,overcast clouds
147,Katherine,AU,2022-02-02 21:45:58,-14.4667,132.2667,77.32,94,74,0.0,broken clouds
148,Micheweni,TZ,2022-02-02 21:45:58,-4.9667,39.8333,80.13,81,100,9.55,overcast clouds
149,Tuatapere,NZ,2022-02-02 21:45:59,-46.1333,167.6833,57.81,85,100,6.87,overcast clouds
150,Minab,IR,2022-02-02 21:45:59,27.1467,57.0801,63.9,38,0,9.37,clear sky
151,Karratha,AU,2022-02-02 21:45:59,-20.7377,116.8463,81.25,73,100,6.24,overcast clouds
